Tabela 2.1 - Rendimento domiciliar per capita médio e mediano, por sexo e cor ou raça, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - Brasil - 2024;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas (R$);;;;;;;;;;;;;;;;;;;;;
;Total;;Sexo;;;;Cor ou raça ;;;;;;;;Sexo e cor ou raça;;;;;;;
;;;Homem;;Mulher;;Branca;;Parda;;Preta;;Preta ou parda;;Homem branco;;Homem preto ou pardo;;Mulher branca;;Mulher preta ou parda;
;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano
Recife;  2 510 ;  1 271 ;  2 662 ;  1 266 ;  2 382 ;  1 279 ;  3 976 ;  1 835 ;  1 796 ;  1 072 ;  1 329 ;   869 ;  1 690 ;  1 021 ;  4 319 ;  1 863 ;  1 757 ;  1 022 ;  3 695 ;  1 801 ;  1 632 ;  1 020 
Alagoas;  1 318 ;   795 ;  1 385 ;   818 ;  1 256 ;   765 ;  1 831 ;   943 ;  1 131 ;   731 ;  1 114 ;   816 ;  1 129 ;   741 ;  1 929 ;   935 ;  1 192 ;   789 ;  1 745 ;   947 ;  1 071 ;   714 
Maceió;  1 823 ;  1 056 ;  1 866 ;  1 078 ;  1 787 ;  1 034 ;  2 599 ;  1 287 ;  1 540 ;  1 002 ;  1 354 ;   903 ;  1 512 ;   995 ;  2 561 ;  1 245 ;  1 592 ;  1 036 ;  2 631 ;  1 327 ;  1 443 ;   948 
Sergipe;  1 426 ;   923 ;  1 484 ;   940 ;  1 374 ;   892 ;  1 721 ;  1 085 ;  1 326 ;   852 ;  1 379 ;   898 ;  1 334 ;   860 ;  1 737 ;  1 145 ;  1 402 ;   893 ;  1 707 ;  1 033 ;  1 273 ;   834 
Aracaju;  2 197 ;  1 254 ;  2 278 ;  1 226 ;  2 126 ;  1 270 ;  2 511 ;  1 461 ;  2 092 ;  1 160 ;  2 050 ;  1 086 ;  2 085 ;  1 150 ;  2 458 ;  1 512 ;  2 208 ;  1 109 ;  2 556 ;  1 434 ;  1 976 ;  1 186 
Bahia;  1 329 ;   903 ;  1 357 ;   938 ;  1 303 ;   869 ;  1 872 ;  1 119 ;  1 235 ;   870 ;  1 124 ;   866 ;  1 202 ;   867 ;  1 818 ;  1 120 ;  1 255 ;   916 ;  1 922 ;  1 109 ;  1 152 ;   827 
Salvador;  1 842 ;  1 045 ;  1 868 ;  1 104 ;  1 819 ;  1 005 ;  3 625 ;  2 031 ;  1 637 ;   998 ;  1 346 ;   963 ;  1 509 ;   982 ;  3 541 ;  2 041 ;  1 587 ;  1 016 ;  3 688 ;  2 021 ;  1 441 ;   942 
Sudeste;  2 377 ;  1 501 ;  2 454 ;  1 539 ;  2 303 ;  1 467 ;  2 972 ;  1 816 ;  1 767 ;  1 337 ;  1 780 ;  1 386 ;  1 770 ;  1 348 ;  3 060 ;  1 842 ;  1 852 ;  1 397 ;  2 891 ;  1 796 ;  1 689 ;  1 274 
Minas Gerais;  1 952 ;  1 409 ;  2 041 ;  1 426 ;  1 866 ;  1 392 ;  2 423 ;  1 582 ;  1 642 ;  1 273 ;  1 571 ;  1 306 ;  1 627 ;  1 275 ;  2 531 ;  1 634 ;  1 710 ;  1 358 ;  2 322 ;  1 528 ;  1 544 ;  1 207 
Belo Horizonte;  2 973 ;  1 740 ;  3 167 ;  1 776 ;  2 804 ;  1 708 ;  3 910 ;  2 365 ;  2 346 ;  1 524 ;  2 070 ;  1 491 ;  2 273 ;  1 508 ;  4 236 ;  2 463 ;  2 332 ;  1 530 ;  3 618 ;  2 292 ;  2 222 ;  1 496 
Espírito Santo;  2 054 ;  1 398 ;  2 090 ;  1 410 ;  2 019 ;  1 396 ;  2 742 ;  1 682 ;  1 667 ;  1 190 ;  1 539 ;  1 148 ;  1 641 ;  1 180 ;  2 762 ;  1 685 ;  1 701 ;  1 211 ;  2 723 ;  1 674 ;  1 580 ;  1 125 
Vitória;  4 096 ;  2 598 ;  4 208 ;  2 528 ;  3 997 ;  2 629 ;  5 446 ;  4 013 ;  2 878 ;  1 613 ;  1 911 ;  1 138 ;  2 575 ;  1 430 ;  5 792 ;  4 184 ;  2 504 ;  1 397 ;  5 153 ;  3 899 ;  2 641 ;  1 486 
Rio de Janeiro;  2 431 ;  1 422 ;  2 504 ;  1 463 ;  2 367 ;  1 413 ;  3 255 ;  1 824 ;  1 807 ;  1 255 ;  1 690 ;  1 241 ;  1 772 ;  1 249 ;  3 319 ;  1 861 ;  1 861 ;  1 340 ;  3 199 ;  1 801 ;  1 692 ;  1 187 
Rio de Janeiro;  3 420 ;  2 009 ;  3 546 ;  2 089 ;  3 309 ;  1 929 ;  4 387 ;  2 743 ;  2 368 ;  1 505 ;  2 339 ;  1 531 ;  2 360 ;  1 508 ;  4 563 ;  2 804 ;  2 475 ;  1 597 ;  4 238 ;  2 663 ;  2 255 ;  1 425 
